,find_condominio,find_iptu,find_m_quadrado,is_academia,is_apertamento,is_churrasqueira,is_elevador,is_mobiliado,is_piscina,is_portaria,is_salao_festa,is_varanda,n_banheiros,n_garagens,n_quartos,expensive,Bairro
31905,10.0,10.0,82.0,1,1,1,1,1,1,1,1,1,3,2,3,1,Encruzilhada
49850,0.0,0.0,61.0,1,1,1,1,0,1,1,1,0,1,1,2,1,Pina
71893,800.0,0.0,95.0,0,1,0,0,0,0,0,1,0,3,2,3,1,Boa Viagem
18487,1200.0,0.0,107.0,0,1,0,0,0,0,0,0,0,2,1,3,1,Boa Viagem
53752,0.0,0.0,82.0,1,1,0,1,0,1,0,0,1,2,2,4,1,Encruzilhada
1288,1.0,1.0,47.0,1,1,0,1,0,1,1,1,0,2,1,2,1,Boa Viagem
73858,200.0,400.0,95.0,0,1,0,0,0,0,0,0,0,1,2,3,0,Boa Viagem
50175,950.0,301.0,104.0,0,1,0,1,0,0,1,1,0,1,1,3,1,Parnamirim
16596,1.0,1.0,26.0,1,1,0,1,0,1,1,1,0,1,1,1,0,Recife
9107,1.0,1.0,60.0,1,1,1,1,0,1,1,1,1,2,1,3,1,Boa Viagem
41770,1171.0,179.0,95.0,0,1,0,0,0,0,0,0,1,2,1,3,1,Boa Viagem
43172,650.0,0.0,80.0,0,1,1,1,0,1,1,1,1,3,2,2,1,Boa Viagem
37891,1.0,1.0,80.0,0,1,1,1,0,1,1,1,0,3,1,3,1,Encruzilhada
15514,600.0,100.0,40.0,0,1,1,1,0,1,1,1,0,1,1,1,0,Casa Amarela
13771,0.0,0.0,55.0,1,1,1,1,0,1,1,1,1,1,1,2,1,Santo Amaro
51901,1.0,1.0,40.0,1,1,1,1,0,1,1,1,0,1,1,2,0,Dois Unidos
55352,1.0,1.0,32.0,1,1,0,1,0,1,1,1,0,1,1,1,0,Jaqueira
47,600.0,154.0,56.0,1,1,1,1,0,1,1,1,0,2,1,2,1,Torreão
26169,700.0,0.0,80.0,0,1,0,1,0,0,1,1,0,2,2,3,1,Casa Amarela
29708,650.0,283.0,82.0,0,1,1,1,0,1,0,1,1,3,2,3,1,Espinheiro
58764,645.0,156.0,35.0,0,1,0,0,0,0,0,0,1,1,1,1,1,Boa Viagem
24770,1215.0,206.0,70.0,1,1,0,1,0,1,0,1,0,2,1,2,0,Boa Viagem
67752,1.0,1.0,69.0,0,1,0,0,0,0,0,0,0,2,2,3,1,Caxangá
34969,1.0,1.0,86.0,1,1,1,1,0,1,1,1,1,1,2,3,1,Rosarinho
62533,0.0,261.0,147.0,0,1,1,0,0,0,0,1,0,1,2,3,1,Cordeiro
15222,655.0,1.0,80.0,1,1,1,1,0,1,1,1,0,1,1,3,1,Casa Amarela
27043,700.0,0.0,80.0,0,1,0,1,1,1,1,1,1,2,1,3,1,Encruzilhada
